type,name,website,address,aggregated_description,latitude,longitude
nightlife,Knitting Factory Brooklyn,http://bk.knittingfactory.com/, 361 Metropolitan Avenue NYC,"	World-class sound system for catching great shows - awesome, FREE Sunday comedy lineup - get there by 7 to catch the 8 o'clock show - seats fill up quick if you want one!	See a $5 (or sometime free) stand-up comedy show at the Knitting Factory on Sunday nights. Show is typically at 9pm but if you want a chair you better come early (doors open at 6pm). 	Free or $5 Sunday night comedy with random appearances by famous comedians like Aziz Ansari, Dave Chappelle, etc. + Great music venue every other night of the week",40.7142437,-73.9558401
nightlife,Weather Up,http://weatherupnyc.com/, 589 Vanderbilt Avenue NYC,"	Easy to miss as it doesn't have a sign out front, but worth the hunt (just look for the white subway tiles out front). Enjoy a delicious coctail while you wait for dinner at Chuko. 	Nice setting and delicious drinks. A bit pricey and sometimes a wait to get a drink, because cocktails are an art here, made to perfection. Located behind white tile wall with no sign. Speak-easy s...Â read more	This a old fashion speakeasy type place.  There is no sign - just a tiled facade.  You might want to plug the address into a GPS and then ask someone on the street when you're close.  The drinks ar...Â read more",40.6798868,-73.9678113
nightlife,Employees Only,http://www.employeesonlynyc.com/, 510 Hudson Street NYC,"	 	 	A fortune teller greets patrons at this comfortably-worn reproduction of a prohibition speakeasy. Thereâ€™s a rousing scene in front, a mix of diehard regulars and industry types who jockey for the a...Â read more",40.7334339,-74.0060767
nightlife,Rockwood Music Hall,http://www.rockwoodmusichall.com/, 196 Allen Street NYC,"	Best live music venue in NYC---in my opinion! Three separate rooms that all feature live music with acts changing every single hour, every single night!  	My favorite venue. FREE music on at least one stage at all times. Three stages in total, different acts every hour! You'll surely hear some amazing music here!!	Rockwood Music Hall has a variety of live music. You have to check their website to see who's playing. It features a good selection of local bands. There are 3 stages. The cover isn't bad and inclu...Â read more",40.7224641,-73.9885527
nightlife,Casablanca Cocktail Lounge,http://www.casablancabrooklyn.com/, 300 Malcolm X Boulevard NYC,"	Well loved bar, fantastic cocktails and great music. Walk 4 blocks west along on Decatur and turn right on Malcom X, one block  north to Mac Donough Street. 	Vibey Brooklyn bar with great cocktails and DJ on weekends. Visited by Beyonce and Jay Z a couple times this past summer, so you don't have to take my word for it.	Cool trendy lounge with great DJs most nights.  Casablanca is only 3 blocks away, no dress code. Cash only bar with delicious cocktails.  Great scene, casual but a little edgy.  Gets a little crowd...Â read more",40.807841,-73.945309
nightlife,duckduck,http://www.duckduckbar.com/, 161 Montrose Avenue NYC,"	A divey bar full of neighborhood locals getting loud and a bit rowdy. A really fun time, and not a tourist in sight. 	 Along with Sweet Science, my favorite place in the neighborhood.  Cheap beer and shot deals and good cocktails (margaritas especially).  They have a good happy hour and on the weekends their DJ is...Â read more	Industrial-chic local bar with signature cocktails, craft beers & shots, weekend DJs & late closing",40.70745459,-73.94281365
nightlife,Dynaco,, 1112 Bedford Avenue NYC,"	Great bar. Say hi to brothers and owners Ben & Adam and tell them Mick sent you. No TV's excellent speakers (you will see and hear what I mean ) and back room w/ fireplace. Great micro brew beers.	This is our local - friendly, unpretentious, fireplace in the back and booths in the front, plus a nice long bar full of [mostly] locals, staffed by chill bartenders.  Can get crowded on Thurs/Fri/...Â read more	This sister to the Mission Dolores pinball-and-beer bar dynasty offers loads of neat drafts like Evil Twinâ€™s Low Life pilsner and Slyboro Hidden Star. Plus, thereâ€™s monthly suds-themed trivia with ...Â read more",40.68666105,-73.95479345
nightlife,Bizarre,https://www.bizarrebushwick.com/, 12 Jefferson Street NYC,"	One of my favorites! If you like live performances this place has one every single night. Burlesque, vaudeville, Jazz - you name it.   	A bit of a walk, but worth checking out. Great happy hour specials, solid cocktails and bar food. Great backyard and all kinds of events and performances.	Very strange place (in a good way).  Could just be a chill night with the regulars, or they could be doing a burlesque show with half naked fold wearing saddles.  French food, good drinks.",40.6973367,-73.9347194
nightlife,The Wayland,http://thewaylandnyc.com/, 700 East 9th Street NYC,"	For years, the bar team at The Wayland has been serving inventive cocktails in an unassuming Avenue C space. Here, happy hour runs Monday to Friday from 4:00 to 7:00 p.m., where options go well bey...Â read more	 	 ",40.725095,-73.97785
nightlife,Death and Co,http://www.deathandcompany.com/, 433 East 6th Street NYC,"	Bartenders in bow ties & suspenders recall the speakeasy era at this dark, moody cocktail lounge. The drinks are delicious! Reservations recommended. 	 	 ",40.7259358,-73.9846566
nightlife,Fat Cat,http://www.fatcatmusic.org/, 75 Christopher Street NYC,"	The United Nations of bars with a very diverse crowd jamming to live Jazz all day and all night. This upbeat and excitable place packs in everything from ping pong tables to chinese checkers. 	FUN option for date night! Not fancy at all. Like a giant basement, it is underground and filled with board games, shuffle board, ping pong, and often features fantastic Jazz musicians. Beer and wi...Â read more	Diverse venue, open late, offers live music, pool, Ping-Pong, board games, art exhibits & classes.",40.7336502,-74.0031579
nightlife,Caracas Arepa Bar,http://www.caracasarepabar.com/, 91 East 7th Street NYC,"	Tiny arepa specialist offering creative, low-priced renditions of the Venezuelan corn-flour staple.	My all time favorite place. It is the size of a closet, but what place in NYC isn't. The best places seem to be. Colombian and Venezualan Arepas, with fresh juices in this welcoming and quaint rest...Â read more	Great Venezuelan food- arepas especially. Really good tequila selection. Fun vibe. ",40.7269673,-73.9854617
nightlife,BarbÃ¨s,http://www.barbesbrooklyn.com/, 376 9th Street NYC,"	GREAT bar that features live music in the genres of world music, Latin, old-timey, 20s/30s cabaret and swing, and French chanson. Usually 2 bands per night, no cover charge, but tipping encouraged.	This cozy music venue / bar makes me think of the Danish concept of ""hygge."" Barbes offers a warm atmosphere for a night of enjoyment in world music, affordable beverages and good people. 	There are always great bands and hipster musicians hanging around this bar.  Great all through the year.  All cocktails are $12 and include the Chilcano de Pisco - a classic Peruvian brandy cocktai...Â read more",40.6677975,-73.9838577
